trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20210101,900,7223,7425
20210101,910,972,1100
20210101,920,1505,1698
20210101,930,4385,4657
20210101,940,1785,1967
20210101,950,1425,1395
20210101,960,8117,8045
20210101,970,5190,5246
20210101,980,9026,9104
20210101,990,13720,10669
20210101,1000,65706,47931
20210101,1010,3664,3665
20210101,1020,24683,21092
20210101,1030,2241,2081
20210101,1040,13442,13396
20210101,1050,973,1007
20210101,1060,1498,1583
20210101,1070,7274,7663
20210101,1080,25147,27351
20210101,1090,7156,7844
20210101,1100,25094,26329
20210101,1110,4393,5109
20210101,1120,3911,4450
20210101,1130,1557,1838
20210101,1140,41,83
20210101,1150,583,578
20210101,1160,3052,3554
20210101,1170,5401,5374
20210101,1180,4287,4386
20210101,1190,1580,1590
20210101,1191,270,266
20210101,1192,1856,1373
20210101,1193,760,727
20210101,1194,2968,2995
20210101,1201,56,80
20210101,1202,488,113
20210101,1203,476,495
20210101,1204,86,104
20210101,1205,43,51
20210101,1206,252,367
20210101,1207,22,434
20210101,1208,1375,1238
20210101,1210,21530,21137
20210101,1220,914,799
20210101,1230,488,546
20210101,1240,179,200
20210101,1250,7127,8170
20210101,2110,29,38
20210101,2120,76,92
20210101,2130,837,862
20210101,2140,15,14
20210101,2150,431,482
20210101,2160,43,62
20210101,2170,612,1077
20210101,2180,1216,1817
20210101,2190,234,266
20210101,2200,2579,3437
20210101,2210,81,79
20210101,2220,941,1436
20210101,2230,3037,2864
20210101,2240,386,410
20210101,2250,581,647
20210101,2260,3389,435
20210101,3140,245,349
20210101,3150,921,872
20210101,3160,4780,5991
20210101,3170,93,118
20210101,3180,901,1191
20210101,3190,742,1070
20210101,3210,927,1074
20210101,3220,2860,2796
20210101,3230,8296,9650
20210101,3240,656,619
20210101,3250,2463,2546
20210101,3260,542,494
20210101,3270,1369,1382
20210101,3280,2658,2657
20210101,3290,1445,1364
20210101,3300,33811,30535
20210101,3310,1529,1298
20210101,3320,2637,2122
20210101,3330,902,869
20210101,3340,9934,6313
20210101,3350,761,3739
20210101,3360,14191,17141
20210101,3370,1049,1446
20210101,3380,841,992
20210101,3390,7279,9703
20210101,3400,440,617
20210101,3410,912,1237
20210101,3420,2297,3339
20210101,3430,1012,1231
20210101,3431,23,20
20210101,3432,145,217
20210101,3433,9,13
20210101,3434,955,847
20210101,3435,186,309
20210101,3436,877,976
20210101,3450,643,974
20210101,3460,166,233
20210101,3470,6413,7186
20210101,3480,2120,2835
20210101,3490,142,188
20210101,4050,1464,1497
20210101,4060,2249,2023
20210101,4070,637,676
20210101,4080,10804,12803
20210101,4090,705,834
20210101,4100,162,254
20210101,4110,457,594
20210101,4120,4196,5702
20210101,4130,497,511
20210101,4140,463,635
20210101,4150,1507,1349
20210101,4160,123,142
20210101,4170,2942,3210
20210101,4180,885,689
20210101,4190,2304,2108
20210101,4200,5146,3548
20210101,4210,3406,2651
20210101,4220,28853,28878
20210101,4250,2021,3026
20210101,4260,904,851
20210101,4270,426,371
20210101,4271,596,416
20210101,4272,3524,2308
20210101,4290,1213,1110
20210101,4300,1514,1653
20210101,4310,2498,2719
20210101,4320,1484,1439
20210101,4330,2567,2077
20210101,4340,13688,11658
20210101,4350,606,659
20210101,4360,583,553
20210101,4370,809,775
20210101,4380,241,223
20210101,4390,408,377
20210101,4400,18355,16749
20210101,4410,467,406
20210101,4420,893,850
20210101,4430,932,909
20210101,4440,5315,4990
20210101,4450,600,631
20210101,4460,1206,1376
20210101,4470,105,119
20210101,5000,10172,11977
20210101,5010,195,199
20210101,5020,112,185
20210101,5030,640,749
20210101,5040,284,381
20210101,5050,3342,4714
20210101,5060,90,112
20210101,5070,397,471
20210101,5080,8,33
20210101,5090,424,530
20210101,5100,76,144
20210101,5110,54,208
20210101,5120,1121,1442
20210101,5130,251,2
20210101,5160,0,2
20210101,5190,204,250
20210101,5200,15,36
20210101,5210,490,551
20210101,5220,318,369
20210101,5230,914,917
20210101,5240,2,25
20210101,6000,10815,8680
20210101,6010,2,6
20210101,6020,264,270
20210101,6030,17,24
20210101,6040,2,2
20210101,6050,534,801
20210101,6060,13,21
20210101,6070,723,1371
20210101,6080,127,187
20210101,6090,3,7
20210101,6100,11,14
20210101,6110,1091,1857
20210101,6120,7,15
20210101,6130,506,855
20210101,6140,16,29
20210101,6150,2,6
20210101,6160,313,582
20210101,6170,27,32
20210101,6180,282,428
20210101,6190,19,25
20210101,6200,34,32
20210101,6210,29,58
20210101,6220,246,402
20210101,6230,7,12
20210101,6240,652,298
20210101,6250,561,545
20210101,7000,12067,17698
20210101,7010,105,98
20210101,7020,1,19
20210101,7030,411,665
20210101,7040,28,28
20210101,7050,45,51
20210101,7060,666,701
20210101,7070,4,9
20210101,7080,20,9
20210101,7090,572,821
20210101,7100,154,166
20210101,7110,31,18
20210101,7120,451,495
20210101,7130,613,654
20210101,7140,12,28
20210101,7150,504,582
20210101,7160,6582,6117
20210101,7170,8,11
20210101,7180,167,144
20210101,7190,4841,5366
20210101,7200,92,120
20210101,7210,3332,3340
20210101,7220,80,121
20210101,7230,1066,1148
20210101,7240,157,145
20210101,7250,91,77
20210101,7260,181,253
20210101,7270,293,173
20210101,7280,15,30
20210101,7290,598,776
20210101,7300,129,172
20210101,7310,446,671
20210101,7320,110,142
20210101,7330,62,69
20210101,7331,11,5
20210101,7332,894,871
20210101,7333,8,11
20210101,7334,36,32
20210101,7335,525,572
20210101,7336,426,426
20210101,7350,1336,1290
20210101,7360,3577,4099
20210101,7361,63,70
20210101,7362,188,235
20210101,7380,459,502
20210101,7390,263,356
20210102,900,6606,6240
20210102,910,1014,1042
20210102,920,1396,1487
20210102,930,3791,4041
20210102,940,1729,1721
20210102,950,1310,1160
20210102,960,7552,7777
20210102,970,4610,4797
20210102,980,7921,8423
20210102,990,10926,11405
20210102,1000,45663,52131
20210102,1010,3304,3347
20210102,1020,19650,21360
20210102,1030,2037,1951
20210102,1040,11497,12379
20210102,1050,837,900
20210102,1060,1377,1348
20210102,1070,7261,7299
20210102,1080,22724,23215
20210102,1090,6693,6766
20210102,1100,22489,23448
20210102,1110,4229,4121
20210102,1120,3666,3596
20210102,1130,1500,1525
20210102,1140,78,91
20210102,1150,471,501
20210102,1160,3111,3184
20210102,1170,4759,4778
20210102,1180,3796,4014
20210102,1190,1402,1514
20210102,1191,360,267
20210102,1192,1303,1426
20210102,1193,682,707
20210102,1194,2729,2328
20210102,1201,62,68
20210102,1202,127,142
20210102,1203,668,658
20210102,1204,112,145
20210102,1205,59,91
20210102,1206,277,399
20210102,1207,80,131
20210102,1208,1634,1410
20210102,1210,19695,20170
20210102,1220,678,668
20210102,1230,528,485
20210102,1240,221,245
20210102,1250,6616,6695
20210102,2110,21,34
20210102,2120,66,73
20210102,2130,668,681
20210102,2140,20,17
20210102,2150,510,482
20210102,2160,106,99
20210102,2170,891,832
20210102,2180,1265,1251
20210102,2190,271,245
20210102,2200,2974,2817
20210102,2210,63,83
20210102,2220,1014,1018
20210102,2230,2631,2515
20210102,2240,385,342
20210102,2250,671,621
20210102,2260,1297,258
20210102,3140,206,244
20210102,3150,803,730
20210102,3160,4587,4561
20210102,3170,76,84
20210102,3180,993,1022
20210102,3190,834,805
20210102,3210,1222,1303
20210102,3220,2262,2244
20210102,3230,8327,8365
20210102,3240,668,605
20210102,3250,2357,2347
20210102,3260,460,461
20210102,3270,1260,1215
20210102,3280,2560,2583
