sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101001,YouBike2.0_捷運科技大樓站,28,0,大安區,2023-05-08 21:57:13,25.02605,121.5436,復興南路二段235號前,Daan Dist.,YouBike2.0_MRT Technology Bldg. Sta.,No.235， Sec. 2， Fuxing S. Rd.,28,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:57:13,2023-05-08
500101002,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-08 21:46:04,25.02565,121.54357,復興南路二段273號西側,Daan Dist.,YouBike2.0_No.273， Sec. 2， Fuxing S. Rd.,No.273， Sec. 2， Fuxing S. Rd. (West),21,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:46:04,2023-05-08
500101005,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-08 21:34:03,25.02153,121.54299,復興南路二段368號,Daan Dist.,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),No. 368， Sec. 2， Fuxing S. Rd.,16,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:34:03,2023-05-08
500101006,YouBike2.0_復興南路二段280號前,11,0,大安區,2023-05-08 21:55:11,25.02429,121.54328,復興南路二段280號,Daan Dist.,YouBike2.0_No. 280， Sec. 2， Fuxing S. Rd.,No. 280， Sec. 2， Fuxing S. Rd.,11,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:55:11,2023-05-08
500101007,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-08 21:10:08,25.02253,121.54326,復興南路二段342號,Daan Dist.,YouBike2.0_Ln. 340， Sec. 2， Fuxing S. Rd.,No. 342， Sec. 2， Fuxing S. Rd.,11,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:10:08,2023-05-08
500101016,YouBike2.0_羅斯福路三段245號前,8,0,大安區,2023-05-08 21:54:04,25.01927,121.52989,羅斯福路三段245號,Daan Dist.,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,No. 245， Sec. 3， Roosevelt Rd.,8,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:54:04,2023-05-08
500101018,YouBike2.0_溫州公園,5,0,大安區,2023-05-08 21:57:13,25.01895,121.53156,羅斯福路三段283巷11號,Daan Dist.,YouBike2.0_Wenzhou Park,No. 11， Ln. 283， Sec. 3， Roosevelt Rd.,5,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:57:13,2023-05-08
500101019,YouBike2.0_和平臥龍街口,15,0,大安區,2023-05-08 21:57:13,25.024461,121.546705,臥龍街1號,Daan Dist.,YouBike2.0_Heping Wolong St. Intersection,No. 1， Wolong St.,15,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:57:13,2023-05-08
500101021,YouBike2.0_銘傳國小側門,7,0,大安區,2023-05-08 21:41:04,25.01385,121.53549,羅斯福路四段21號旁天橋下,Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21， Sec. 4， Roosevelt Rd.,7,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:41:04,2023-05-08
500101025,YouBike2.0_臺灣科技大學側門,99,0,大安區,2023-05-08 21:45:05,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,99,1,2023-05-08 21:57:29,2023-05-08 21:57:53,2023-05-08 21:45:05,2023-05-08
